Membership No  Date Joined  Active  
    17686      2017-4-17    yes   
    32027      2016-2-7     yes   
    27278      2015-8-22    no    
    56993      2016-1-7     yes   
    14242      2018-1-25    no    
    33352      2019-9-17    yes   
    52439      2017-1-9     yes   
    21975      2018-12-25   yes   
    60182      2018-8-3     no    
    82436      2016-10-7    yes   
    81365      2018-6-10    yes   
    83765      2015-11-19   yes   
    36865      2016-2-7     yes   
    73603      2019-7-18    yes   
    94032      2017-12-5    yes   
    77251      2019-1-3     no    
    44557      2015-6-4     no    
    96966      2019-7-16    yes   
    88201      2015-12-6    no    
    34916      2020-9-2     no    
