Membership No  Date Joined  Active  
    85367      2016-1-17    no    
    64807      2016-3-16    no    
    35629      2015-10-9    no    
    35121      2018-11-15   yes   
    43003      2018-1-14    yes   
    19271      2019-2-20    no    
    86617      2015-2-6     no    
    29646      2020-3-16    no    
    34713      2015-5-14    no    
    35360      2018-1-22    no    
    58374      2020-2-15    yes   
    76925      2017-5-10    yes   
    72077      2020-2-3     yes   
    52641      2018-11-11   no    
    28555      2020-7-5     no    
    78420      2016-6-20    no    
    70640      2017-1-13    yes   
    31953      2020-11-12   yes   
    45522      2018-5-11    yes   
    48359      2019-4-11    no    
